time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1577836800000,0.01795400,0.01814500,0.01792000,0.01803700,16555.62400000,1577858399999,298.59346168,20118,8167.29400000,147.30059938,0
1577858400000,0.01803900,0.01823600,0.01802700,0.01816500,14074.16600000,1577879999999,254.89753234,19236,7370.41500000,133.49266605,0
1577880000000,0.01816500,0.01835600,0.01815800,0.01829300,18879.62600000,1577901599999,344.66858736,22388,10000.75400000,182.54373799,0
1577901600000,0.01829300,0.01829500,0.01805000,0.01815000,19608.15200000,1577923199999,356.39638362,22362,9199.13400000,167.27400748,0
1577923200000,0.01815200,0.01816300,0.01801000,0.01815200,16675.12000000,1577944799999,301.79223722,18669,7862.11300000,142.31095501,0
1577944800000,0.01815300,0.01820900,0.01810300,0.01813900,13716.16300000,1577966399999,248.98292241,17763,6500.50700000,118.00104733,0
1577966400000,0.01814600,0.01829600,0.01796500,0.01828000,30205.29300000,1577987999999,548.24862291,28269,16052.06300000,291.42245991,0
1577988000000,0.01828300,0.01831900,0.01822600,0.01825600,18849.33200000,1578009599999,344.43416700,20272,8882.51500000,162.33222163,0
1578009600000,0.01825700,0.01834100,0.01780000,0.01790300,44767.81200000,1578031199999,810.58834080,34155,18311.89600000,331.38255413,0
1578031200000,0.01790100,0.01828100,0.01783700,0.01805000,48036.19900000,1578052799999,865.87015651,36892,24295.62500000,438.13359288,0
1578052800000,0.01805000,0.01827500,0.01802700,0.01821400,31436.05500000,1578074399999,569.67173354,31524,16251.68800000,294.56527570,0
1578074400000,0.01821200,0.01842500,0.01813100,0.01829700,26837.78100000,1578095999999,489.69063898,27301,13100.21800000,239.06577482,0
1578096000000,0.01829800,0.01836000,0.01816900,0.01820000,16499.81400000,1578117599999,300.94547187,21685,7768.21000000,141.71980466,0
1578117600000,0.01820300,0.01825000,0.01817000,0.01823000,15921.99100000,1578139199999,290.03814978,18692,7968.56400000,145.15796673,0
1578139200000,0.01823100,0.01836000,0.01814000,0.01831000,32104.84500000,1578160799999,584.91697573,23339,19057.77700000,347.20603852,0
1578160800000,0.01831200,0.01836000,0.01821200,0.01824800,19750.50800000,1578182399999,360.74096412,22149,9972.25900000,182.13045885,0
1578182400000,0.01824700,0.01831400,0.01815200,0.01825800,26589.45100000,1578203999999,484.47844025,23687,14481.40700000,263.88148168,0
1578204000000,0.01825700,0.01828200,0.01818000,0.01819700,19459.41800000,1578225599999,354.61833278,18773,10361.17600000,188.80937877,0
1578225600000,0.01819700,0.01850700,0.01818600,0.01846100,35111.42000000,1578247199999,644.88847727,29534,16489.12400000,302.82511838,0
1578247200000,0.01846300,0.01856500,0.01830900,0.01840000,26836.91300000,1578268799999,494.77822450,25583,13920.56900000,256.72078019,0
1578268800000,0.01840000,0.01855000,0.01833700,0.01847300,23374.99700000,1578290399999,431.74929703,25925,11916.39600000,220.10910597,0
1578290400000,0.01847300,0.01888300,0.01846400,0.01875400,40072.50900000,1578311999999,747.54930567,34889,22024.34900000,410.80730079,0
1578312000000,0.01875400,0.01890000,0.01854300,0.01875900,50438.44900000,1578333599999,944.54523263,36164,26353.09700000,493.42402352,0
1578333600000,0.01875900,0.01885100,0.01849000,0.01857600,30126.18200000,1578355199999,561.72972277,32270,16641.36600000,310.33557961,0
1578355200000,0.01857700,0.01858600,0.01810100,0.01816800,39892.90300000,1578376799999,727.25262793,36551,20863.83700000,380.20457054,0
1578376800000,0.01816700,0.01821200,0.01804300,0.01806200,30825.41400000,1578398399999,558.70911725,27032,15791.76800000,286.27978286,0
1578398400000,0.01806100,0.01806200,0.01783300,0.01797800,43533.79500000,1578419999999,781.00593891,40360,22834.49000000,409.64435186,0
1578420000000,0.01797800,0.01798600,0.01751500,0.01752800,53285.43100000,1578441599999,944.27663508,47852,26375.49900000,467.36085877,0
1578441600000,0.01752800,0.01752900,0.01722800,0.01737200,58686.07100000,1578463199999,1021.15172832,49597,28286.11300000,492.26349273,0
1578463200000,0.01737400,0.01742800,0.01720500,0.01722300,32942.73000000,1578484799999,569.95134845,33129,16003.35800000,276.83186049,0
1578484800000,0.01722200,0.01725100,0.01695800,0.01717900,57870.27200000,1578506399999,990.26649393,54149,26611.05200000,455.30961877,0
1578506400000,0.01717800,0.01753000,0.01715900,0.01747200,43144.19100000,1578527999999,748.41451921,40339,20845.44900000,361.46707513,0
1578528000000,0.01747200,0.01765300,0.01747100,0.01752200,25176.65500000,1578549599999,442.43834236,26738,11847.67400000,208.20160302,0
1578549600000,0.01752200,0.01768000,0.01748200,0.01754500,29517.43200000,1578571199999,518.79610493,30021,15216.67500000,267.42684175,0
1578571200000,0.01754500,0.01756700,0.01731900,0.01744000,28237.81800000,1578592799999,492.87369680,29879,13484.58700000,235.31237096,0
1578592800000,0.01744100,0.01770500,0.01732400,0.01761800,39539.56600000,1578614399999,692.50540215,36758,20649.03500000,361.57433993,0
1578614400000,0.01762000,0.01762900,0.01745500,0.01752300,18509.97000000,1578635999999,324.32416408,22163,7523.55300000,131.82676450,0
1578636000000,0.01752400,0.01773000,0.01752200,0.01765200,37140.46700000,1578657599999,654.47657414,30700,17818.75100000,314.08198019,0
1578657600000,0.01765200,0.01783900,0.01752500,0.01782400,64958.17200000,1578679199999,1147.15971575,50373,32377.38200000,571.96688706,0
1578679200000,0.01782400,0.01797000,0.01764700,0.01767500,35187.70700000,1578700799999,625.73245657,38172,17104.52800000,304.29467068,0
1578700800000,0.01767200,0.01770600,0.01750300,0.01767500,27641.44600000,1578722399999,486.39250358,31591,13835.06100000,243.41267701,0
